#Log_File	LOG037
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.33
#Unique_ID	2411E505575BA507
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	SD7-517-198	Water	dphi	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	SD7-517-198	not cal.	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	30%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	51.700°	19.800°	20.00°C	20.00°C	1013 mbar	0%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(dphi)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
11	2017-07-10 12:36:55	19,252		22,28	22,28	1006,7	62,5	874		0	19,252	52,2	4,7	22,55
12	2017-07-10 12:37:25	19,200		22,32	22,32	1006,8	62,5	904		0	19,200	56,0	5,1	22,56
13	2017-07-10 12:37:59	20,308	SignalTooLow_	22,35	22,35	1006,8	62,5	938		2	20,308	39,5	5,1	22,57
14	2017-07-10 12:38:29	19,140	SignalTooLow_	22,41	22,41	1006,8	62,7	968		2	19,140	38,5	4,9	22,57
15	2017-07-10 12:39:15	19,640	SignalTooLow_	22,42	22,42	1006,8	62,6	1014		2	19,640	36,1	4,8	22,58
16	2017-07-10 12:39:56	19,732	SignalTooLow_	22,43	22,43	1006,8	62,6	1055		2	19,732	38,6	5,1	22,60
17	2017-07-10 12:40:33	20,985	SignalTooLow_	22,47	22,47	1006,8	62,6	1092		2	20,985	30,6	5,2	22,60
18	2017-07-10 12:41:04	20,095	SignalTooLow_	22,41	22,41	1006,9	62,7	1123		2	20,095	41,6	5,2	22,61
19	2017-07-10 12:41:34	19,597	SignalTooLow_	22,43	22,43	1006,9	62,6	1153		2	19,597	41,5	4,8	22,62
20	2017-07-10 12:42:09	19,418	SignalTooLow_	22,43	22,43	1006,9	62,6	1188		2	19,418	40,6	4,8	22,62
21	2017-07-10 12:47:01	19,276		22,26	22,26	1006,9	62,5	1480		0	19,276	50,8	5,0	22,61
22	2017-07-10 12:47:29	19,242		22,32	22,32	1006,9	62,6	1508		0	19,242	52,4	4,9	22,60
23	2017-07-10 12:47:58	20,355	SignalTooLow_	22,35	22,35	1006,9	62,7	1537		2	20,355	37,9	4,9	22,60
24	2017-07-10 12:48:24	19,111	SignalTooLow_	22,39	22,39	1006,9	62,7	1563		2	19,111	37,3	5,1	22,62
25	2017-07-10 12:49:02	19,611	SignalTooLow_	22,43	22,43	1006,8	62,6	1601		2	19,611	39,9	4,9	22,63
26	2017-07-10 12:49:32	19,773	SignalTooLow_	22,38	22,38	1006,9	62,6	1631		2	19,773	36,8	4,9	22,63
27	2017-07-10 12:50:08	20,689	SignalTooLow_	22,39	22,39	1006,9	62,6	1667		2	20,689	11,8	5,2	22,63
28	2017-07-10 12:50:39	20,212	SignalTooLow_	22,40	22,40	1006,8	62,5	1698		2	20,212	42,1	4,9	22,63
29	2017-07-10 12:51:11	19,694	SignalTooLow_	22,45	22,45	1006,8	62,6	1730		2	19,694	41,1	4,8	22,64
30	2017-07-10 12:51:43	19,382	SignalTooLow_	22,45	22,45	1006,9	62,6	1762		2	19,382	39,6	5,0	22,65
31	2017-07-10 12:56:59	19,269	SignalTooLow_	22,35	22,35	1006,9	62,5	2078		2	19,269	48,6	5,2	22,61
32	2017-07-10 12:57:19	19,349		22,35	22,35	1006,9	62,7	2098		0	19,349	50,6	5,1	22,61
33	2017-07-10 12:57:53	19,649	SignalTooLow_	22,41	22,41	1006,9	62,6	2132		2	19,649	9,0	5,3	22,61
34	2017-07-10 12:58:25	19,103	SignalTooLow_	22,40	22,40	1006,9	62,6	2164		2	19,103	35,8	5,0	22,61
35	2017-07-10 12:58:51	19,725	SignalTooLow_	22,42	22,42	1007,0	62,7	2190		2	19,725	41,2	4,9	22,61
36	2017-07-10 12:59:19	19,926	SignalTooLow_	22,44	22,44	1007,0	62,6	2218		2	19,926	38,2	4,9	22,61
37	2017-07-10 12:59:52	21,133	SignalTooLow_	22,48	22,48	1007,0	62,7	2251		2	21,133	36,3	5,0	22,61
38	2017-07-10 13:00:19	20,172	SignalTooLow_	22,45	22,45	1007,0	62,7	2278		2	20,172	39,6	4,8	22,62
39	2017-07-10 13:01:01	19,723	SignalTooLow_	22,47	22,47	1006,9	62,6	2320		2	19,723	39,2	4,8	22,62
40	2017-07-10 13:01:33	19,417	SignalTooLow_	22,39	22,39	1006,9	62,6	2352		2	19,417	38,5	4,6	22,62
41	2017-07-10 13:09:00	19,353		22,32	22,32	1006,9	62,6	2799		0	19,353	49,0	4,8	22,59
42	2017-07-10 13:09:35	19,304		22,40	22,40	1006,9	62,6	2834		0	19,304	49,1	4,7	22,60
43	2017-07-10 13:10:05	20,066	SignalTooLow_	22,43	22,43	1006,9	62,6	2864		2	20,066	8,2	4,9	22,59
44	2017-07-10 13:10:33	19,226	SignalTooLow_	22,38	22,38	1006,9	62,6	2892		2	19,226	35,5	4,7	22,60
45	2017-07-10 13:11:05	19,724	SignalTooLow_	22,44	22,44	1006,9	62,6	2924		2	19,724	39,7	4,6	22,59
46	2017-07-10 13:11:38	20,075	SignalTooLow_	22,42	22,42	1006,9	62,6	2957		2	20,075	37,4	4,7	22,60
47	2017-07-10 13:12:15	21,151	SignalTooLow_	22,39	22,39	1006,9	62,6	2994		2	21,151	30,7	4,8	22,60
48	2017-07-10 13:12:50	20,253	SignalTooLow_	22,40	22,40	1006,9	62,6	3029		2	20,253	37,9	4,5	22,60
49	2017-07-10 13:13:22	19,858	SignalTooLow_	22,41	22,41	1006,9	62,6	3061		2	19,858	38,0	4,7	22,60
50	2017-07-10 13:13:58	19,540	SignalTooLow_	22,40	22,40	1006,9	62,5	3097		2	19,540	35,4	4,7	22,61
51	2017-07-10 13:30:00	19,392	SignalTooLow_	22,18	22,18	1007,0	62,8	4059		2	19,392	44,3	4,9	22,51
52	2017-07-10 13:30:28	19,376	SignalTooLow_	22,21	22,21	1007,1	62,9	4087		2	19,376	48,3	4,9	22,51
53	2017-07-10 13:31:01	19,955	SignalTooLow_	22,20	22,20	1007,0	63,0	4120		2	19,955	8,3	4,9	22,51
54	2017-07-10 13:31:35	19,258	SignalTooLow_	22,20	22,20	1007,0	63,0	4154		2	19,258	34,2	4,7	22,51
55	2017-07-10 13:32:10	19,898	SignalTooLow_	22,28	22,28	1007,0	63,0	4189		2	19,898	39,1	4,7	22,51
56	2017-07-10 13:32:50	20,280	SignalTooLow_	22,35	22,35	1007,0	63,1	4229		2	20,280	38,8	5,0	22,52
57	2017-07-10 13:33:24	21,460	SignalTooLow_	22,40	22,40	1007,0	63,1	4263		2	21,460	36,6	4,9	22,53
58	2017-07-10 13:33:58	20,381	SignalTooLow_	22,40	22,40	1007,0	63,1	4297		2	20,381	40,0	4,8	22,52
59	2017-07-10 13:34:30	19,958	SignalTooLow_	22,44	22,44	1006,9	63,1	4329		2	19,958	37,1	4,8	22,54
60	2017-07-10 13:35:27	19,571	SignalTooLow_	22,30	22,30	1007,0	63,1	4386		2	19,571	37,9	4,9	22,55
61	2017-07-10 13:40:08	19,361	SignalTooLow_	22,25	22,25	1007,0	62,9	4667		2	19,361	47,7	4,9	22,56
62	2017-07-10 13:40:45	19,379		22,34	22,34	1007,0	63,0	4704		0	19,379	50,7	5,0	22,56
63	2017-07-10 13:41:23	20,529	SignalTooLow_	22,32	22,32	1007,0	63,1	4742		2	20,529	14,8	5,0	22,57
64	2017-07-10 13:42:10	19,175	SignalTooLow_	22,30	22,30	1007,0	63,0	4789		2	19,175	35,6	4,9	22,58
65	2017-07-10 13:42:42	19,899	SignalTooLow_	22,41	22,41	1007,0	63,1	4821		2	19,899	40,9	4,9	22,60
66	2017-07-10 13:43:25	20,145	SignalTooLow_	22,35	22,35	1007,0	62,9	4864		2	20,145	35,6	4,7	22,59
67	2017-07-10 13:44:10	21,185	SignalTooLow_	22,35	22,35	1007,0	62,9	4909		2	21,185	13,9	5,1	22,61
68	2017-07-10 13:44:52	20,343	SignalTooLow_	22,35	22,35	1007,0	63,0	4951		2	20,343	40,3	5,1	22,62
69	2017-07-10 13:45:33	19,941	SignalTooLow_	22,44	22,44	1007,0	63,1	4992		2	19,941	39,6	5,1	22,64
70	2017-07-10 13:46:09	19,544	SignalTooLow_	22,36	22,36	1007,0	62,9	5028		2	19,544	38,4	4,9	22,66
71	2017-07-10 13:50:20	19,369	SignalTooLow_	22,29	22,29	1006,9	62,8	5279		2	19,369	48,1	4,9	22,62
72	2017-07-10 13:51:07	19,344		22,35	22,35	1006,9	62,9	5326		0	19,344	49,6	4,8	22,62
73	2017-07-10 13:52:11	21,106	SignalTooLow_	22,31	22,31	1006,9	62,8	5390		2	21,106	38,2	4,8	22,64
74	2017-07-10 13:53:08	19,172	SignalTooLow_	22,35	22,35	1006,9	63,0	5447		2	19,172	37,0	4,8	22,66
75	2017-07-10 13:53:47	19,872	SignalTooLow_	22,44	22,44	1006,8	62,9	5486		2	19,872	43,4	4,9	22,67
76	2017-07-10 13:54:27	20,210	SignalTooLow_	22,47	22,47	1006,9	62,9	5526		2	20,210	40,5	5,2	22,67
77	2017-07-10 13:55:16	21,162	SignalTooLow_	22,38	22,38	1006,9	62,9	5575		2	21,162	15,9	5,0	22,69
78	2017-07-10 13:55:57	20,345	SignalTooLow_	22,36	22,36	1006,9	62,8	5616		2	20,345	41,5	4,8	22,69
79	2017-07-10 13:56:27	20,008	SignalTooLow_	22,47	22,47	1006,9	62,8	5646		2	20,008	41,5	5,2	22,69
80	2017-07-10 13:57:06	19,478	SignalTooLow_	22,41	22,41	1006,9	62,8	5685		2	19,478	39,8	4,8	22,70
81	2017-07-10 14:01:07	19,378		22,28	22,28	1006,9	62,8	5926		0	19,378	50,0	5,4	22,68
82	2017-07-10 14:01:48	19,293		22,32	22,32	1006,9	62,8	5967		0	19,293	52,1	5,0	22,67
83	2017-07-10 14:03:04	20,576	SignalTooLow_	22,38	22,38	1006,9	62,9	6043		2	20,576	10,1	5,1	22,68
84	2017-07-10 14:03:48	19,088	SignalTooLow_	22,39	22,39	1007,0	63,0	6087		2	19,088	35,5	4,8	22,69
85	2017-07-10 14:04:42	19,842	SignalTooLow_	22,38	22,38	1007,0	63,0	6141		2	19,842	41,3	5,0	22,70
86	2017-07-10 14:05:27	20,120	SignalTooLow_	22,28	22,28	1006,9	62,9	6186		2	20,120	29,1	5,1	22,70
87	2017-07-10 14:06:11	21,713	SignalTooLow_	22,36	22,36	1006,9	62,9	6230		2	21,713	38,3	5,3	22,71
88	2017-07-10 14:06:55	20,377	SignalTooLow_	22,38	22,38	1006,9	62,9	6274		2	20,377	40,9	4,9	22,71
89	2017-07-10 14:07:41	20,001	SignalTooLow_	22,38	22,38	1006,9	62,8	6320		2	20,001	39,7	4,8	22,73
90	2017-07-10 14:08:23	19,465	SignalTooLow_	22,34	22,34	1006,9	62,8	6362		2	19,465	35,6	5,1	22,74
91	2017-07-10 14:12:37	19,446	SignalTooLow_	22,34	22,34	1006,9	62,8	6616		2	19,446	46,7	4,9	22,70
92	2017-07-10 14:13:06	19,328		22,40	22,40	1006,9	62,8	6645		0	19,328	50,2	4,9	22,70
93	2017-07-10 14:13:48	21,321	SignalTooLow_	22,42	22,42	1006,9	62,8	6687		2	21,321	35,0	4,6	22,71
94	2017-07-10 14:14:32	19,160	SignalTooLow_	22,48	22,48	1006,9	62,8	6731		2	19,160	34,7	4,9	22,71
95	2017-07-10 14:15:08	19,828	SignalTooLow_	22,44	22,44	1006,9	62,9	6767		2	19,828	39,7	4,8	22,73
96	2017-07-10 14:15:39	20,216	SignalTooLow_	22,49	22,49	1006,9	62,8	6798		2	20,216	36,6	5,0	22,73
97	2017-07-10 14:16:24	21,795	SignalTooLow_	22,47	22,47	1006,9	62,8	6843		2	21,795	35,2	4,9	22,74
98	2017-07-10 14:17:07	20,396	SignalTooLow_	22,46	22,46	1006,9	62,8	6886		2	20,396	38,8	4,6	22,74
99	2017-07-10 14:17:45	20,070	SignalTooLow_	22,46	22,46	1006,9	62,8	6924		2	20,070	39,6	4,8	22,75
100	2017-07-10 14:18:17	19,526	SignalTooLow_	22,50	22,50	1006,9	62,9	6956		2	19,526	35,2	4,6	22,75
101	2017-07-10 14:24:51	19,446	SignalTooLow_	22,37	22,37	1007,0	62,9	7350		2	19,446	47,9	4,8	22,72
102	2017-07-10 14:25:29	19,362		22,41	22,41	1007,0	63,0	7388		0	19,362	50,7	4,8	22,72
103	2017-07-10 14:26:11	21,460	SignalTooLow_	22,47	22,47	1007,0	63,1	7430		2	21,460	38,5	4,8	22,72
104	2017-07-10 14:26:41	19,171	SignalTooLow_	22,48	22,48	1007,0	63,1	7460		2	19,171	34,5	5,1	22,73
105	2017-07-10 14:27:33	19,817	SignalTooLow_	22,54	22,54	1006,9	63,1	7512		2	19,817	38,8	4,7	22,74
106	2017-07-10 14:28:15	20,288	SignalTooLow_	22,56	22,56	1007,0	63,0	7554		2	20,288	35,9	5,1	22,75
107	2017-07-10 14:28:58	21,941	SignalTooLow_	22,53	22,53	1007,0	63,0	7597		2	21,941	37,9	4,9	22,75
108	2017-07-10 14:29:36	20,532	SignalTooLow_	22,47	22,47	1006,9	63,0	7635		2	20,532	39,7	4,9	22,75
109	2017-07-10 14:30:12	20,092	SignalTooLow_	22,52	22,52	1006,9	63,2	7671		2	20,092	38,6	4,9	22,78
110	2017-07-10 14:30:40	19,458	SignalTooLow_	22,51	22,51	1007,0	63,1	7699		2	19,458	34,5	4,8	22,78
111	2017-07-10 14:36:38	19,444	SignalTooLow_	22,26	22,26	1007,0	62,8	8057		2	19,444	47,6	5,4	22,76
112	2017-07-10 14:37:17	19,426	SignalTooLow_	22,37	22,37	1007,0	62,9	8096		2	19,426	48,4	4,9	22,75
113	2017-07-10 14:37:56	21,619	SignalTooLow_	22,37	22,37	1007,0	62,9	8135		2	21,619	35,5	4,8	22,76
114	2017-07-10 14:38:35	19,255	SignalTooLow_	22,43	22,43	1007,0	62,9	8174		2	19,255	34,4	4,8	22,75
115	2017-07-10 14:39:34	19,868	SignalTooLow_	22,56	22,56	1007,0	62,9	8233		2	19,868	37,5	4,8	22,78
116	2017-07-10 14:40:14	20,408	SignalTooLow_	22,56	22,56	1007,0	62,9	8273		2	20,408	38,3	5,1	22,79
117	2017-07-10 14:41:04	22,055	SignalTooLow_	22,59	22,59	1007,1	63,0	8323		2	22,055	36,3	4,8	22,80
118	2017-07-10 14:41:48	20,494	SignalTooLow_	22,59	22,59	1007,0	63,0	8367		2	20,494	38,8	5,0	22,81
119	2017-07-10 14:42:30	20,184	SignalTooLow_	22,58	22,58	1007,0	63,0	8409		2	20,184	39,0	4,7	22,82
120	2017-07-10 14:43:08	19,479	SignalTooLow_	22,60	22,60	1006,9	62,9	8447		2	19,479	34,5	4,8	22,83
121	2017-07-10 14:50:34	19,499	SignalTooLow_	22,33	22,33	1006,9	62,7	8893		2	19,499	48,5	5,1	22,77
122	2017-07-10 14:51:15	19,430	SignalTooLow_	22,40	22,40	1007,0	62,8	8934		2	19,430	48,5	5,0	22,77
123	2017-07-10 14:51:58	21,814	SignalTooLow_	22,42	22,42	1007,0	62,9	8977		2	21,814	36,4	5,0	22,78
124	2017-07-10 14:52:31	19,233	SignalTooLow_	22,48	22,48	1007,0	62,9	9010		2	19,233	35,1	5,1	22,80
125	2017-07-10 14:53:15	19,849	SignalTooLow_	22,50	22,50	1006,9	62,7	9054		2	19,849	37,9	5,2	22,80
126	2017-07-10 14:54:01	20,391	SignalTooLow_	22,56	22,56	1007,0	62,8	9100		2	20,391	33,5	4,9	22,81
127	2017-07-10 14:55:07	22,196	SignalTooLow_	22,52	22,52	1007,0	62,8	9166		2	22,196	35,9	4,9	22,82
128	2017-07-10 14:55:53	20,557	SignalTooLow_	22,57	22,57	1007,1	62,7	9212		2	20,557	37,9	4,9	22,84
129	2017-07-10 14:56:38	20,290	SignalTooLow_	22,48	22,48	1007,0	62,7	9257		2	20,290	39,4	4,8	22,84
130	2017-07-10 14:57:17	19,540	SignalTooLow_	22,57	22,57	1007,0	62,7	9296		2	19,540	33,2	5,0	22,85
131	2017-07-10 15:03:06	19,533	SignalTooLow_	22,40	22,40	1007,0	62,7	9645		2	19,533	44,9	5,1	22,83
132	2017-07-10 15:03:42	19,331	SignalTooLow_	22,49	22,49	1006,9	62,8	9681		2	19,331	48,0	4,9	22,82
133	2017-07-10 15:04:26	21,904	SignalTooLow_	22,52	22,52	1006,9	62,9	9725		2	21,904	35,3	4,9	22,83
134	2017-07-10 15:04:57	19,245	SignalTooLow_	22,52	22,52	1006,9	62,8	9756		2	19,245	35,1	4,9	22,83
135	2017-07-10 15:05:27	19,822	SignalTooLow_	22,53	22,53	1006,9	62,8	9786		2	19,822	37,1	4,8	22,84
136	2017-07-10 15:06:10	20,419	SignalTooLow_	22,55	22,55	1006,9	62,8	9829		2	20,419	31,9	5,3	22,85
137	2017-07-10 15:06:52	22,390	SignalTooLow_	22,59	22,59	1006,9	62,8	9871		2	22,390	37,6	4,8	22,86
138	2017-07-10 15:07:30	20,604	SignalTooLow_	22,61	22,61	1006,9	62,8	9909		2	20,604	38,9	5,0	22,86
139	2017-07-10 15:08:13	20,338	SignalTooLow_	22,57	22,57	1006,9	62,8	9952		2	20,338	39,5	4,9	22,87
140	2017-07-10 15:09:08	19,520	SignalTooLow_	22,67	22,67	1006,8	62,9	10007		2	19,520	35,3	5,0	22,88
141	2017-07-10 15:14:30	19,552	SignalTooLow_	22,44	22,44	1006,9	62,9	10329		2	19,552	46,9	5,2	22,82
142	2017-07-10 15:15:09	19,415	SignalTooLow_	22,44	22,44	1006,9	63,1	10368		2	19,415	47,6	4,9	22,82
143	2017-07-10 15:16:11	22,089	SignalTooLow_	22,48	22,48	1006,9	63,1	10430		2	22,089	24,0	4,8	22,82
144	2017-07-10 15:16:46	19,291	SignalTooLow_	22,46	22,46	1006,9	63,0	10465		2	19,291	35,2	4,7	22,81
145	2017-07-10 15:17:31	19,877	SignalTooLow_	22,41	22,41	1007,0	62,9	10510		2	19,877	38,5	4,6	22,82
146	2017-07-10 15:18:16	20,592	SignalTooLow_	22,42	22,42	1007,0	63,0	10555		2	20,592	36,1	4,8	22,80
147	2017-07-10 15:18:59	22,766	SignalTooLow_	22,43	22,43	1007,0	62,9	10598		2	22,766	37,0	5,0	22,81
148	2017-07-10 15:19:31	20,687	SignalTooLow_	22,42	22,42	1007,0	62,9	10630		2	20,687	39,0	5,0	22,81
149	2017-07-10 15:20:10	20,361	SignalTooLow_	22,33	22,33	1007,0	63,0	10669		2	20,361	38,9	4,9	22,81
150	2017-07-10 15:20:57	19,577	SignalTooLow_	22,39	22,39	1007,1	63,0	10716		2	19,577	36,4	4,7	22,80
151	2017-07-10 15:25:56	19,626	SignalTooLow_	22,18	22,18	1007,0	62,6	11015		2	19,626	45,8	4,9	22,70
152	2017-07-10 15:26:25	19,484	SignalTooLow_	22,12	22,12	1007,0	62,7	11044		2	19,484	48,6	4,9	22,69
153	2017-07-10 15:27:01	22,380	SignalTooLow_	22,17	22,17	1007,0	62,7	11080		2	22,380	38,1	4,9	22,69
154	2017-07-10 15:28:08	19,372	SignalTooLow_	22,25	22,25	1007,0	62,9	11147		2	19,372	34,8	4,9	22,68
155	2017-07-10 15:28:44	19,971	SignalTooLow_	22,28	22,28	1007,0	62,9	11183		2	19,971	39,2	4,8	22,65
156	2017-07-10 15:29:28	20,811	SignalTooLow_	22,30	22,30	1007,0	63,0	11227		2	20,811	38,8	4,9	22,66
157	2017-07-10 15:30:08	22,925	SignalTooLow_	22,28	22,28	1007,0	62,9	11267		2	22,925	37,5	5,0	22,65
158	2017-07-10 15:30:49	20,805	SignalTooLow_	22,18	22,18	1007,0	63,0	11308		2	20,805	39,3	4,8	22,65
159	2017-07-10 15:31:22	20,576	SignalTooLow_	22,24	22,24	1006,9	63,0	11341		2	20,576	39,9	4,6	22,64
160	2017-07-10 15:32:07	19,655	SignalTooLow_	22,24	22,24	1006,9	63,0	11386		2	19,655	33,8	4,5	22,65
161	2017-07-10 15:36:46	19,772	SignalTooLow_	22,10	22,10	1007,0	63,0	11665		2	19,772	45,8	4,7	22,58
162	2017-07-10 15:37:21	19,473		22,05	22,05	1007,0	63,0	11700		0	19,473	49,8	4,9	22,57
163	2017-07-10 15:38:00	22,494	SignalTooLow_	22,11	22,11	1006,9	63,2	11739		2	22,494	26,2	4,9	22,55
164	2017-07-10 15:38:29	19,495	SignalTooLow_	22,10	22,10	1006,9	63,2	11768		2	19,495	34,9	4,8	22,55
165	2017-07-10 15:39:03	20,078	SignalTooLow_	22,16	22,16	1006,9	63,3	11802		2	20,078	38,7	4,6	22,55
166	2017-07-10 15:39:48	20,754	SignalTooLow_	22,16	22,16	1007,0	63,3	11847		2	20,754	34,9	4,8	22,55
167	2017-07-10 15:40:31	23,229	SignalTooLow_	22,18	22,18	1006,9	63,4	11890		2	23,229	38,9	5,0	22,55
168	2017-07-10 15:41:13	20,904	SignalTooLow_	22,25	22,25	1006,9	63,6	11932		2	20,904	38,2	4,7	22,54
169	2017-07-10 15:41:55	20,747	SignalTooLow_	22,30	22,30	1006,9	63,5	11974		2	20,747	40,8	4,5	22,54
170	2017-07-10 15:42:41	19,753	SignalTooLow_	22,23	22,23	1006,8	63,5	12020		2	19,753	37,1	4,9	22,54
171	2017-07-10 15:48:03	19,871	SignalTooLow_	22,06	22,06	1006,8	63,4	12342		2	19,871	48,7	5,0	22,46
172	2017-07-10 15:48:44	19,612	SignalTooLow_	22,05	22,05	1006,8	63,5	12383		2	19,612	48,4	4,9	22,46
173	2017-07-10 15:49:16	22,867	SignalTooLow_	22,06	22,06	1006,8	63,5	12415		2	22,867	39,9	4,8	22,46
174	2017-07-10 15:49:53	19,513	SignalTooLow_	21,98	21,98	1006,7	63,4	12452		2	19,513	34,7	4,7	22,44
175	2017-07-10 15:50:30	20,137	SignalTooLow_	22,04	22,04	1006,7	63,5	12489		2	20,137	38,7	4,9	22,44
176	2017-07-10 15:51:16	21,010	SignalTooLow_	22,03	22,03	1006,6	63,5	12535		2	21,010	38,2	4,7	22,43
177	2017-07-10 15:52:06	23,627	SignalTooLow_	22,08	22,08	1006,7	63,5	12585		2	23,627	40,1	4,7	22,43
178	2017-07-10 15:52:36	20,991	SignalTooLow_	22,12	22,12	1006,7	63,6	12615		2	20,991	41,0	4,8	22,43
179	2017-07-10 15:53:13	20,834	SignalTooLow_	22,06	22,06	1006,7	63,5	12652		2	20,834	39,9	4,5	22,43
180	2017-07-10 15:54:00	19,812	SignalTooLow_	22,03	22,03	1006,7	63,4	12699		2	19,812	34,5	4,8	22,43
181	2017-07-10 15:58:57	20,000	SignalTooLow_	22,02	22,02	1006,6	63,5	12996		2	20,000	48,2	4,9	22,36
182	2017-07-10 15:59:41	19,666		22,00	22,00	1006,7	63,6	13040		0	19,666	49,3	4,9	22,35
183	2017-07-10 16:00:10	23,122	SignalTooLow_	22,04	22,04	1006,6	63,6	13069		2	23,122	38,0	4,9	22,35
184	2017-07-10 16:00:44	19,615	SignalTooLow_	22,04	22,04	1006,6	63,6	13103		2	19,615	36,3	4,8	22,34
185	2017-07-10 16:01:20	20,236	SignalTooLow_	22,02	22,02	1006,6	63,7	13139		2	20,236	40,6	5,0	22,34
186	2017-07-10 16:01:55	21,211	SignalTooLow_	22,03	22,03	1006,6	63,8	13174		2	21,211	39,5	4,8	22,34
187	2017-07-10 16:02:35	23,831	SignalTooLow_	22,09	22,09	1006,6	63,8	13214		2	23,831	36,5	5,0	22,33
188	2017-07-10 16:03:13	21,042	SignalTooLow_	22,07	22,07	1006,6	63,8	13252		2	21,042	41,8	4,7	22,33
189	2017-07-10 16:03:50	21,003	SignalTooLow_	22,07	22,07	1006,6	63,8	13289		2	21,003	41,7	4,9	22,32
190	2017-07-10 16:04:25	19,831	SignalTooLow_	22,12	22,12	1006,5	64,0	13324		2	19,831	33,0	4,8	22,33
191	2017-07-10 16:08:54	19,998		22,01	22,01	1006,5	63,9	13593		0	19,998	50,3	4,7	22,29
192	2017-07-10 16:09:23	19,725		21,94	21,94	1006,5	63,9	13622		0	19,725	51,2	4,7	22,30
193	2017-07-10 16:10:06	23,256	SignalTooLow_	21,98	21,98	1006,5	64,0	13665		2	23,256	37,6	4,6	22,30
194	2017-07-10 16:10:46	19,678	SignalTooLow_	21,95	21,95	1006,5	64,0	13705		2	19,678	37,3	4,8	22,29
195	2017-07-10 16:11:28	20,253	SignalTooLow_	21,99	21,99	1006,5	64,3	13747		2	20,253	40,7	4,8	22,29
