
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SA7-530-200	3	ON External	20.000	OFF	1013	35.000	10%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-535-194	3	OFF	14.200	OFF	1013	0.000	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.000	20.000	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Ch 4	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.500	19.400	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Data	Smoothing:	3	
Date:	21.03.2017	
			 	Oxygen			Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
21.03.2017	22:47:25	222.27		---	---	---	67.102	10.991	---	---	14.200	1013.09	35.160	10.991	---	---	118.966	---	---	24.962	0.049	---	---	722.764	3.985	---	---	3.650	
21.03.2017	22:47:28	225.27		---	---	---	-266.03	11.010	---	---	14.200	1013.09	35.160	11.010	---	---	115.960	---	---	74.502	0.061	---	---	493.893	4.005	---	---	4.607	
21.03.2017	22:47:31	228.27		---	---	---	-590.81	11.008	---	---	14.200	1013.08	35.160	11.008	---	---	115.850	---	---	123.953	0.059	---	---	264.807	3.974	---	---	4.699	
21.03.2017	22:47:34	231.27		---	---	---	---	10.992	---	---	14.200	1013.06	35.160	10.992	---	---	122.293	---	---	173.314	0.075	---	---	2.313	3.972	---	---	4.824	
21.03.2017	22:47:37	234.27		---	---	---	---	11.012	---	---	14.200	1013.05	35.160	11.012	---	---	140.937	---	---	173.624	0.063	---	---	2.307	3.959	---	---	4.431	
21.03.2017	22:47:40	237.27		---	---	---	---	11.055	---	---	14.200	1013.04	35.160	11.055	---	---	143.321	---	---	173.617	0.051	---	---	2.317	3.961	---	---	4.407	
21.03.2017	22:47:43	240.27		---	---	---	---	11.072	---	---	14.200	1013.07	35.160	11.072	---	---	146.274	---	---	173.473	0.042	---	---	2.317	3.968	---	---	4.320	
21.03.2017	22:47:46	243.27		---	---	---	---	11.013	---	---	14.200	1013.09	35.160	11.013	---	---	137.793	---	---	173.505	0.052	---	---	2.318	3.982	---	---	3.842	
21.03.2017	22:47:49	246.27		---	---	---	---	10.946	---	---	14.200	1013.09	35.170	10.946	---	---	143.572	---	---	173.709	0.066	---	---	2.321	4.001	---	---	3.922	
21.03.2017	22:47:52	249.27		---	---	---	---	10.977	---	---	14.200	1013.08	35.181	10.977	---	---	140.288	---	---	173.709	0.070	---	---	2.315	3.992	---	---	4.026	
21.03.2017	22:47:55	252.27		---	---	---	---	11.012	---	---	14.200	1013.06	35.191	11.012	---	---	145.002	---	---	173.442	0.058	---	---	2.307	3.991	---	---	4.087	
21.03.2017	22:47:58	255.27		---	---	---	---	11.019	---	---	14.200	1013.05	35.204	11.019	---	---	145.103	---	---	173.141	0.044	---	---	2.293	3.985	---	---	4.075	
21.03.2017	22:48:01	258.27		---	---	---	---	11.048	---	---	14.200	1013.07	35.216	11.048	---	---	143.762	---	---	173.498	0.034	---	---	2.306	3.980	---	---	4.079	
21.03.2017	22:48:04	261.27		---	---	---	---	11.077	---	---	14.200	1013.07	35.239	11.077	---	---	135.773	---	---	171.102	0.044	---	---	2.230	3.952	---	---	3.926	
21.03.2017	22:48:07	264.27		---	---	---	---	11.152	---	---	14.200	1013.09	35.249	11.152	---	---	129.748	---	---	171.141	0.053	---	---	2.224	3.956	---	---	3.834	
21.03.2017	22:48:10	267.27		---	---	---	---	11.131	---	---	14.200	1013.05	35.259	11.131	---	---	126.045	---	---	170.736	0.062	---	---	2.212	3.976	---	---	3.791	
21.03.2017	22:48:13	270.27		---	---	---	-599.68	11.153	---	---	14.200	1013.06	35.259	11.153	---	---	122.143	---	---	127.071	0.062	---	---	35.264	4.010	---	---	3.796	
21.03.2017	22:48:16	273.27		---	---	---	-294.53	11.141	---	---	14.200	1013.06	35.259	11.141	---	---	131.293	---	---	81.259	0.058	---	---	68.434	4.011	---	---	3.766	
21.03.2017	22:48:19	276.27		---	---	---	28.590	11.135	---	---	14.200	1013.07	35.259	11.135	---	---	132.864	---	---	35.260	0.059	---	---	101.406	3.997	---	---	3.679	
21.03.2017	22:48:22	279.27		---	---	---	28.509	11.131	---	---	14.200	1013.05	35.259	11.131	---	---	126.230	---	---	35.293	0.068	---	---	101.420	3.976	---	---	3.685	
21.03.2017	22:48:25	282.27		---	---	---	28.158	11.159	---	---	14.200	1013.05	35.259	11.159	---	---	17.551	---	---	35.438	0.070	---	---	103.007	3.973	---	---	3.693	
21.03.2017	22:48:28	285.27		---	---	---	27.436	11.193	---	---	14.200	1013.07	35.259	11.193	---	---	13.544	---	---	35.739	0.081	---	---	132.657	3.954	---	---	3.687	
21.03.2017	22:48:31	288.27		---	---	---	-330.24	11.141	---	---	14.200	1013.07	35.259	11.141	---	---	17.563	---	---	82.011	0.079	---	---	99.678	3.951	---	---	3.800	
21.03.2017	22:48:34	291.27		---	---	---	-317.00	11.102	---	---	14.200	1013.07	35.269	11.102	---	---	119.065	---	---	78.412	0.087	---	---	81.712	3.917	---	---	3.779	
21.03.2017	22:48:37	294.27		---	---	---	-303.72	11.061	---	---	14.200	1013.06	35.280	11.061	---	---	109.630	---	---	74.722	0.058	---	---	34.256	3.849	---	---	3.782	
21.03.2017	22:48:40	297.27		---	---	---	45.043	11.125	---	---	14.200	1013.05	35.290	11.125	---	---	122.030	---	---	33.991	0.053	---	---	34.405	3.772	---	---	3.652	
21.03.2017	22:48:43	300.27		---	---	---	-294.40	11.117	---	---	14.200	1013.05	35.290	11.117	---	---	120.625	---	---	83.471	0.051	---	---	17.633	3.717	---	---	3.792	
21.03.2017	22:48:46	303.27		---	---	---	---	11.185	---	---	14.200	1013.05	35.303	11.185	---	---	138.856	---	---	133.071	0.059	---	---	2.478	3.731	---	---	3.895	
21.03.2017	22:48:49	306.27		---	---	---	-633.00	11.164	---	---	14.200	1013.07	35.315	11.164	---	---	124.421	---	---	124.057	0.048	---	---	21.040	3.726	---	---	3.910	
21.03.2017	22:48:52	309.27		---	---	---	-293.27	11.135	---	---	14.200	1013.07	35.328	11.135	---	---	118.886	---	---	74.527	0.045	---	---	42.070	3.727	---	---	3.772	
21.03.2017	22:48:55	312.27		---	---	---	68.013	11.066	---	---	14.200	1013.07	35.338	11.066	---	---	112.116	---	---	24.786	0.060	---	---	64.877	3.716	---	---	3.656	
21.03.2017	22:48:58	315.27		---	---	---	68.215	11.044	---	---	14.200	1013.07	35.348	11.044	---	---	117.119	---	---	24.751	0.066	---	---	65.753	3.718	---	---	3.661	
21.03.2017	22:49:01	318.27		---	---	---	68.169	11.049	---	---	14.200	1013.08	35.368	11.049	---	---	130.003	---	---	24.759	0.066	---	---	64.052	3.718	---	---	3.675	
21.03.2017	22:49:03	320.87		---	---	---	68.015	11.078	---	---	14.200	1013.09	35.379	11.078	---	---	122.305	---	---	24.785	0.046	---	---	60.452	3.722	---	---	3.686	
21.03.2017	22:49:04	321.87		---	---	---	68.068	11.122	---	---	14.200	1013.12	35.389	11.122	---	---	128.153	---	---	24.776	0.048	---	---	60.042	3.720	---	---	3.669	
21.03.2017	22:49:05	322.87		---	---	---	68.160	11.132	---	---	14.200	1013.12	35.389	11.132	---	---	119.560	---	---	24.760	0.039	---	---	59.873	3.712	---	---	3.660	
21.03.2017	22:49:06	323.87		---	---	---	68.171	11.110	---	---	14.200	1013.10	35.389	11.110	---	---	121.605	---	---	24.758	0.055	---	---	59.783	3.712	---	---	3.654	
21.03.2017	22:49:07	324.87		---	---	---	68.231	11.114	---	---	14.200	1013.09	35.389	11.114	---	---	97.049	---	---	24.748	0.050	---	---	59.609	3.707	---	---	3.661	
21.03.2017	22:49:08	325.87		---	---	---	-249.23	11.142	---	---	14.200	1013.08	35.389	11.142	---	---	91.299	---	---	74.061	0.055	---	---	40.438	3.710	---	---	3.740	
21.03.2017	22:49:09	326.87		---	---	---	-261.95	11.142	---	---	14.200	1013.08	35.389	11.142	---	---	102.119	---	---	77.377	0.061	---	---	72.963	3.707	---	---	3.750	
21.03.2017	22:49:10	327.87		---	---	---	-274.71	11.178	---	---	14.200	1013.07	35.389	11.178	---	---	117.096	---	---	80.689	0.065	---	---	108.643	3.718	---	---	3.739	
21.03.2017	22:49:11	328.87		---	---	---	30.071	11.172	---	---	14.200	1013.07	35.389	11.172	---	---	121.191	---	---	34.673	0.072	---	---	163.261	3.725	---	---	3.653	
21.03.2017	22:49:12	329.87		---	---	---	30.124	11.205	---	---	14.200	1013.07	35.389	11.205	---	---	122.619	---	---	34.653	0.057	---	---	166.166	3.723	---	---	3.644	
21.03.2017	22:49:13	330.87		---	---	---	30.144	11.157	---	---	14.200	1013.04	35.389	11.157	---	---	117.695	---	---	34.645	0.065	---	---	166.009	3.716	---	---	3.651	
21.03.2017	22:49:14	331.87		---	---	---	30.032	11.175	---	---	14.200	1013.04	35.389	11.175	---	---	125.141	---	---	34.688	0.047	---	---	166.691	3.711	---	---	3.664	
21.03.2017	22:49:15	332.87		---	---	---	30.025	11.160	---	---	14.200	1013.02	35.402	11.160	---	---	131.638	---	---	34.691	0.055	---	---	169.010	3.722	---	---	3.664	
21.03.2017	22:49:16	333.87		---	---	---	30.042	11.143	---	---	14.200	1013.05	35.414	11.143	---	---	139.878	---	---	34.685	0.051	---	---	171.819	3.720	---	---	3.658	
21.03.2017	22:49:17	334.87		---	---	---	30.138	11.146	---	---	14.200	1013.02	35.427	11.146	---	---	125.442	---	---	34.647	0.063	---	---	173.163	3.719	---	---	3.648	
21.03.2017	22:49:18	335.87		---	---	---	-293.16	11.171	---	---	14.200	1013.05	35.427	11.171	---	---	127.881	---	---	80.849	0.058	---	---	116.291	3.712	---	---	3.786	
21.03.2017	22:49:19	336.87		---	---	---	-630.63	11.199	---	---	14.200	1013.03	35.427	11.199	---	---	133.259	---	---	127.191	0.065	---	---	58.955	3.711	---	---	3.922	
21.03.2017	22:49:20	337.87		---	---	---	---	11.194	---	---	14.200	1013.10	35.427	11.194	---	---	145.266	---	---	173.655	0.066	---	---	2.326	3.716	---	---	4.038	
21.03.2017	22:49:21	338.87		---	---	---	---	11.172	---	---	14.200	1013.10	35.427	11.172	---	---	132.296	---	---	173.811	0.061	---	---	2.317	3.720	---	---	3.992	
21.03.2017	22:49:22	339.87		---	---	---	---	11.171	---	---	14.200	1013.10	35.437	11.171	---	---	135.340	---	---	173.863	0.054	---	---	2.322	3.730	---	---	3.966	
21.03.2017	22:49:23	340.87		---	---	---	---	11.168	---	---	14.200	1013.06	35.448	11.168	---	---	135.617	---	---	173.910	0.045	---	---	2.319	3.727	---	---	3.982	
21.03.2017	22:49:24	341.87		---	---	---	---	11.182	---	---	14.200	1013.08	35.458	11.182	---	---	140.275	---	---	173.919	0.043	---	---	2.329	3.731	---	---	4.020	
21.03.2017	22:49:25	342.87		---	---	---	---	11.191	---	---	14.200	1013.09	35.458	11.191	---	---	108.137	---	---	173.759	0.025	---	---	2.322	3.730	---	---	4.028	
21.03.2017	22:49:26	343.87		---	---	---	---	11.210	---	---	14.200	1013.10	35.458	11.210	---	---	112.346	---	---	173.648	0.037	---	---	2.331	3.741	---	---	4.036	
21.03.2017	22:49:27	344.87		---	---	---	---	11.180	---	---	14.200	1013.08	35.458	11.180	---	---	101.659	---	---	173.727	0.061	---	---	2.320	3.731	---	---	4.031	
21.03.2017	22:49:28	345.87		---	---	---	---	11.191	---	---	14.200	1013.09	35.458	11.191	---	---	118.093	---	---	173.650	0.081	---	---	2.315	3.729	---	---	4.012	
21.03.2017	22:49:29	346.87		---	---	---	---	11.146	---	---	14.200	1013.08	35.458	11.146	---	---	118.989	---	---	173.369	0.085	---	---	2.320	3.716	---	---	4.017	
21.03.2017	22:49:30	347.87		---	---	---	---	11.133	---	---	14.200	1013.06	35.468	11.133	---	---	133.410	---	---	170.459	0.075	---	---	2.222	3.717	---	---	3.915	
21.03.2017	22:49:31	348.87		---	---	---	-481.49	11.108	---	---	14.200	1013.06	35.478	11.108	---	---	132.389	---	---	124.562	0.067	---	---	22.429	3.714	---	---	3.826	
21.03.2017	22:49:32	349.87		---	---	---	-166.99	11.126	---	---	14.200	1013.06	35.488	11.126	---	---	122.019	---	---	78.671	0.062	---	---	44.600	3.720	---	---	3.694	
21.03.2017	22:49:33	350.87		---	---	---	28.313	11.157	---	---	14.200	1013.07	35.488	11.157	---	---	98.284	---	---	35.373	0.053	---	---	66.822	3.718	---	---	3.674	
21.03.2017	22:49:34	351.87		---	---	---	28.341	11.154	---	---	14.200	1013.09	35.501	11.154	---	---	102.331	---	---	35.361	0.051	---	---	68.646	3.725	---	---	3.685	
21.03.2017	22:49:35	352.87		---	---	---	28.310	11.128	---	---	14.200	1013.07	35.513	11.128	---	---	99.213	---	---	35.374	0.044	---	---	68.387	3.720	---	---	3.685	
21.03.2017	22:49:36	353.87		---	---	---	28.351	11.110	---	---	14.200	1013.09	35.526	11.110	---	---	120.011	---	---	35.358	0.053	---	---	68.116	3.712	---	---	3.690	
21.03.2017	22:49:37	354.87		---	---	---	-312.76	11.095	---	---	14.200	1013.07	35.526	11.095	---	---	114.896	---	---	81.488	0.063	---	---	46.083	3.706	---	---	3.807	
21.03.2017	22:49:38	355.87		---	---	---	-670.34	11.106	---	---	14.200	1013.11	35.526	11.106	---	---	108.169	---	---	127.734	0.060	---	---	24.164	3.717	---	---	3.927	
