time.hours,oxygen
2.496,-1.02
2.52,-1.01
2.52,-1.1
2.52,-0.956
2.52,-0.997
2.52,-0.993
2.52,-1.04
2.52,-0.962
2.52,-1.08
2.544,-1.03
2.544,-1.04
2.544,-0.977
2.544,-1.05
2.544,-0.962
2.544,-1.04
2.544,-1
2.544,-0.958
2.544,-1.01
2.568,-1.01
2.568,-1.03
2.568,-0.982
2.568,-1.05
2.568,-1.01
2.568,-1.11
2.568,-0.995
2.568,-1.05
2.568,-0.941
2.592,-0.993
2.592,-1.02
2.592,-1.06
2.592,-1.06
2.592,-0.993
2.592,-0.986
2.592,-0.978
2.592,-0.978
2.616,-1
2.616,-1.01
2.616,-1.01
2.616,-1.03
2.616,-1.03
2.616,-1.09
2.616,-0.988
2.616,-0.997
2.616,-1.05
2.64,-1
2.64,-0.975
2.64,-0.99
2.64,-0.962
2.64,-1.02
2.64,-1.04
2.64,-1.02
2.64,-1.05
2.664,-1.03
2.664,-1.05
2.664,-1.03
2.664,-1
2.664,-1
2.664,-0.915
2.664,-0.982
2.664,-1.01
2.664,-1.02
2.688,-1.05
2.688,-1.03
2.688,-1.06
2.688,-1.01
2.688,-1.06
2.688,-0.98
2.688,-1.06
2.688,-1
2.688,-0.971
2.712,-0.995
2.712,-0.98
2.712,-1.01
2.712,-0.997
2.712,-1.01
2.712,-1.07
2.712,-1.08
2.712,-1.04
2.736,-1.08
2.736,-1.04
2.736,-1.01
2.736,-1.04
2.736,-1.04
2.736,-1.03
2.736,-1.07
2.736,-1.03
2.736,-1.1
2.76,-0.986
2.76,-1.04
2.76,-1.08
2.76,-0.999
2.76,-0.962
2.76,-1.07
2.76,-1.03
2.76,-1.02
2.76,-1.04
2.784,-0.977
2.784,-1.03
2.784,-1.01
2.784,-1.06
2.784,-0.977
2.784,-1.01
2.784,-1.04
2.784,-1.04
2.808,-1
2.808,-0.99
2.808,-1.08
2.808,-0.971
2.808,-0.973
2.808,-1.05
2.808,-1.01
2.808,-1.06
2.808,-1.02
2.832,-1.02
2.832,-0.956
2.832,-0.982
2.832,-1.02
2.832,-0.958
2.832,-1.03
2.832,-1.05
2.832,-1.13
2.832,-1.02
2.856,-1.04
2.856,-1.07
2.856,-1.03
2.856,-1
2.856,-0.962
2.856,-0.952
2.856,-0.986
2.856,-1.04
2.88,-1.03
2.88,-1.02
2.88,-1.04
2.88,-1.03
2.88,-1.02
2.88,-1.01
2.88,-0.973
2.88,-1.07
2.88,-0.982
2.904,-1.07
2.904,-1.03
2.904,-1.06
2.904,-1.07
2.904,-0.993
2.904,-1.09
2.904,-1.03
2.904,-1.05
2.904,-1.08
2.928,-1.03
2.928,-1.03
2.928,-0.986
2.928,-1.07
2.928,-1.03
2.928,-1.03
2.928,-0.973
2.928,-1.03
2.952,-1.09
2.952,-1.09
2.952,-1.01
2.952,-0.988
2.952,-1.07
2.952,-0.965
2.952,-1.02
2.952,-0.999
2.952,-0.986
2.976,-0.999
2.976,-1.04
2.976,-1.07
2.976,-0.984
2.976,-1.02
2.976,-1
2.976,-1.03
2.976,-1.04
2.976,-1.03
3,-1.04
3,-1.07
3,-1.03
3,-1.03
3,-1.04
3,-1.03
3,-1
3,-1.06
3.024,-1.06
3.024,-0.986
3.024,-0.95
3.024,-1.03
3.024,-1.08
3.024,-1
3.024,-1.09
3.024,-1.02
3.024,-1.05
3.048,-1.1
3.048,-1.07
3.048,-0.997
3.048,-1.04
3.048,-1.03
3.048,-1.02
3.048,-1.04
3.048,-1.01
3.072,-1.02
3.072,-1.03
3.072,-1.07
3.072,-0.958
3.072,-1.03
3.072,-1.04
3.072,-0.993
3.072,-1.04
3.072,-1.01
3.096,-1.03
3.096,-1.03
3.096,-0.965
3.096,-0.943
3.096,-1.04
3.096,-1.06
3.096,-1.05
3.096,-1
3.096,-1.06
3.12,-1.05
3.12,-1.02
3.12,-0.976
3.12,-0.989
3.12,-1.06
3.12,-1.04
3.12,-1.06
3.12,-0.991
3.144,-1.04
3.144,-1.04
3.144,-1.01
3.144,-0.969
3.144,-0.98
3.144,-1
3.144,-1.04
3.144,-0.986
3.144,-1.09
3.168,-1.06
3.168,-1.03
3.168,-1.01
3.168,-0.978
3.168,-1.02
3.168,-1.06
3.168,-1.07
3.168,-0.978
3.168,-1.01
3.192,-0.993
3.192,-1.07
3.192,-1.06
3.192,-0.993
3.192,-1.05
3.192,-1.06
3.192,-0.98
3.192,-1.04
3.216,-1.11
3.216,-1.04
3.216,-1.07
3.216,-0.984
3.216,-1.01
3.216,-1.08
3.216,-1.03
3.216,-0.986
3.216,-0.973
3.24,-1
3.24,-0.999
3.24,-0.986
3.24,-0.965
3.24,-0.976
3.24,-0.999
3.24,-0.991
3.24,-0.989
3.264,-1.04
3.264,-1.13
3.264,-1.05
3.264,-0.941
3.264,-1.01
3.264,-1.02
3.264,-0.973
3.264,-1.01
3.264,-0.947
3.288,-1.02
3.288,-1.1
3.288,-1.02
3.288,-1.01
3.288,-0.975
3.288,-0.976
3.288,-1.08
3.288,-1.03
3.288,-1.11
3.312,-1.01
3.312,-0.872
3.312,-1
3.312,-1.06
3.312,-1.02
3.312,-1.06
3.312,-1.06
3.312,-0.958
3.312,-0.963
3.336,-1.05
3.336,-1.03
3.336,-1.03
3.336,-1.02
3.336,-0.954
3.336,-1.03
3.336,-1.03
3.336,-0.991
3.36,-1.1
3.36,-1.01
3.36,-1.02
3.36,-1.04
3.36,-1.05
